127.0.0.1 - - [08/Dec/2016:00:15:39 +0530] "GET /hsmp/images/templatemo_bg.jpg HTTP/1.1" 304 -
127.0.0.1 - - [08/Dec/2016:00:15:39 +0530] "GET /hsmp/images/map_thumb.jpg HTTP/1.1" 304 -
127.0.0.1 - - [08/Dec/2016:00:15:39 +0530] "GET /hsmp/images/templatemo_header.jpg HTTP/1.1" 304 -
127.0.0.1 - - [08/Dec/2016:00:15:39 +0530] "GET /hsmp/images/templatemo_logo.png HTTP/1.1" 304 -
127.0.0.1 - - [08/Dec/2016:00:15:39 +0530] "GET /hsmp/images/templatemo_footer.png HTTP/1.1" 304 -
127.0.0.1 - - [08/Dec/2016:00:16:51 +0530] "GET /hsmp/contact.html HTTP/1.1" 404 1028
127.0.0.1 - - [08/Dec/2016:00:16:54 +0530] "GET /hsmp/contact.html HTTP/1.1" 404 1028
127.0.0.1 - - [08/Dec/2016:00:17:11 +0530] "GET / HTTP/1.1" 404 994
127.0.0.1 - - [08/Dec/2016:00:17:24 +0530] "GET /hsmp/contact.jsp HTTP/1.1" 200 4169
127.0.0.1 - - [08/Dec/2016:00:17:30 +0530] "GET /hsmp/login.jsp HTTP/1.1" 200 3654
127.0.0.1 - - [08/Dec/2016:00:17:55 +0530] "GET /hsmp/about.jsp HTTP/1.1" 200 2053
127.0.0.1 - - [08/Dec/2016:00:18:16 +0530] "GET /hsmp/index.jsp HTTP/1.1" 200 3602
127.0.0.1 - - [08/Dec/2016:00:18:59 +0530] "GET /hsmp/login.jsp HTTP/1.1" 200 3653
127.0.0.1 - - [08/Dec/2016:00:19:07 +0530] "POST /hsmp/log HTTP/1.1" 200 3684
127.0.0.1 - - [08/Dec/2016:00:19:13 +0530] "POST /hsmp/log HTTP/1.1" 302 -
127.0.0.1 - - [08/Dec/2016:00:19:13 +0530] "GET /hsmp/memhome.jsp HTTP/1.1" 200 3201
127.0.0.1 - - [08/Dec/2016:00:19:14 +0530] "GET /hsmp/memphotos/6_1005.jpg HTTP/1.1" 304 -
127.0.0.1 - - [08/Dec/2016:00:19:14 +0530] "GET /hsmp/memphotos/7_1005.jpeg HTTP/1.1" 304 -
127.0.0.1 - - [08/Dec/2016:00:19:25 +0530] "GET /hsmp/kill.jsp HTTP/1.1" 200 3680
127.0.0.1 - - [08/Dec/2016:00:19:29 +0530] "POST /hsmp/log HTTP/1.1" 302 -
127.0.0.1 - - [08/Dec/2016:00:19:29 +0530] "GET /hsmp/dashboard.jsp HTTP/1.1" 200 2448
127.0.0.1 - - [08/Dec/2016:00:19:49 +0530] "GET /hsmp/dashboard.jsp HTTP/1.1" 200 2448
127.0.0.1 - - [08/Dec/2016:00:20:39 +0530] "GET /hsmp/kill.jsp HTTP/1.1" 200 3680
127.0.0.1 - - [08/Dec/2016:00:20:43 +0530] "GET /hsmp/about.jsp HTTP/1.1" 200 2052
127.0.0.1 - - [08/Dec/2016:00:24:38 +0530] "GET /hsmp/about.jsp HTTP/1.1" 200 2052
127.0.0.1 - - [08/Dec/2016:00:24:42 +0530] "GET /hsmp/about.jsp HTTP/1.1" 200 2052
127.0.0.1 - - [08/Dec/2016:00:24:52 +0530] "GET /hsmp/about.jsp HTTP/1.1" 200 2188
127.0.0.1 - - [08/Dec/2016:00:24:53 +0530] "GET /profile/sushil.jpg HTTP/1.1" 404 1030
127.0.0.1 - - [08/Dec/2016:00:24:53 +0530] "GET /profile/sushil.jpg HTTP/1.1" 404 1030
127.0.0.1 - - [08/Dec/2016:00:25:39 +0530] "GET /hsmp/about.jsp HTTP/1.1" 200 2212
127.0.0.1 - - [08/Dec/2016:00:25:39 +0530] "GET /hsmp/css/ddsmoothmenu.css HTTP/1.1" 304 -
127.0.0.1 - - [08/Dec/2016:00:25:39 +0530] "GET /hsmp/scripts/jquery.min.js HTTP/1.1" 304 -
127.0.0.1 - - [08/Dec/2016:00:25:39 +0530] "GET /hsmp/templatemo_style.css HTTP/1.1" 304 -
127.0.0.1 - - [08/Dec/2016:00:25:39 +0530] "GET /hsmp/scripts/ddsmoothmenu.js HTTP/1.1" 304 -
127.0.0.1 - - [08/Dec/2016:00:25:39 +0530] "GET /hsmp/scripts/swfobject/swfobject.js HTTP/1.1" 304 -
127.0.0.1 - - [08/Dec/2016:00:25:39 +0530] "GET /profile/sushil.jpg HTTP/1.1" 404 1030
127.0.0.1 - - [08/Dec/2016:00:25:40 +0530] "GET /hsmp/images/templatemo_bg.jpg HTTP/1.1" 304 -
127.0.0.1 - - [08/Dec/2016:00:25:40 +0530] "GET /profile/sushil.jpg HTTP/1.1" 404 1030
127.0.0.1 - - [08/Dec/2016:00:25:40 +0530] "GET /hsmp/images/templatemo_header.jpg HTTP/1.1" 304 -
127.0.0.1 - - [08/Dec/2016:00:25:40 +0530] "GET /hsmp/images/templatemo_logo.png HTTP/1.1" 304 -
127.0.0.1 - - [08/Dec/2016:00:25:40 +0530] "GET /hsmp/images/templatemo_footer.png HTTP/1.1" 304 -
127.0.0.1 - - [08/Dec/2016:00:25:41 +0530] "GET /hsmp/about.jsp HTTP/1.1" 200 2212
